time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-09-16T08:37:00.690Z,40.2956667,-124.3708333,30.09,2.6,md,18,229,0.02278,0.12,nc,nc73625481,2021-09-16T20:01:11.424Z,"8km WSW of Petrolia, CA",earthquake,0.78,0.5,0.218,30,reviewed,nc,nc
2021-09-16T07:59:27.007Z,-1.2679,120.5718,34.97,4.9,mb,,80,2.21,0.82,us,us7000fbr3,2021-09-16T08:24:02.040Z,"24 km NW of Poso, Indonesia",earthquake,6.3,5.6,0.088,40,reviewed,us,us
2021-09-16T07:29:05.222Z,-19.1964,-69.3602,118.48,4.2,mb,,102,0.495,0.58,us,us7000fbqz,2021-09-16T07:47:10.040Z,"127 km SE of Arica, Chile",earthquake,6.1,4.8,0.146,13,reviewed,us,us
2021-09-16T06:28:04.364Z,52.6874,152.7537,495.24,4.5,mb,,101,3.024,0.85,us,us7000fbqu,2021-09-16T07:28:47.040Z,"288 km WNW of Ozernovskiy, Russia",earthquake,10.5,7,0.024,523,reviewed,us,us
2021-09-16T06:10:33.675Z,-32.1368,-72.4406,10.18,4.5,mb,,140,1.108,0.98,us,us7000fbqd,2021-09-16T20:35:19.023Z,"119 km WNW of La Ligua, Chile",earthquake,6.4,3.3,0.171,10,reviewed,us,us
2021-09-16T05:39:33.398Z,-9.2497,123.0699,110.13,4.4,mb,,63,1.023,0.66,us,us7000fbq4,2021-09-16T09:17:42.358Z,"86 km WNW of Naisano Dua, Indonesia",earthquake,6.8,6.4,0.12,20,reviewed,us,us
2021-09-16T04:58:37.591Z,-59.6185,-26.1069,35,5.1,mb,,55,7.792,0.68,us,us7000fbpu,2021-09-17T02:05:27.040Z,"South Sandwich Islands region",earthquake,9.7,1.9,0.064,79,reviewed,us,us
2021-09-16T04:49:43.198Z,23.6514,94.5667,92.11,4.3,mb,,106,0.625,0.51,us,us7000fbps,2021-09-17T01:43:09.040Z,"16 km E of Mawlaik, Myanmar",earthquake,5.9,3.7,0.201,7,reviewed,us,us
2021-09-16T04:23:33.990Z,19.3416666666667,-155.135333333333,5.03,2.6,ml,46,113,,0.11,hv,hv72710502,2021-09-17T01:25:10.040Z,"13 km S of Fern Forest, Hawaii",earthquake,0.3,0.5,0.155721208207082,32,reviewed,hv,hv
2021-09-16T03:23:55.870Z,37.4138333,-118.6208333,9.57,2.55,md,23,124,0.07597,0.07,nc,nc73625391,2021-09-16T16:21:30.209Z,"2km W of Round Valley, CA",earthquake,0.31,0.71,0.156,30,reviewed,nc,nc
2021-09-16T03:05:03.599Z,37.8924,29.384,10,4.1,mb,,75,0.891,0.54,us,us7000fbnz,2021-09-17T01:14:39.040Z,"18 km NE of Honaz, Turkey",earthquake,3.7,1.8,0.262,4,reviewed,us,us
2021-09-16T02:45:42.960Z,36.0448341,-120.6136703,4.29,2.82,md,49,107,0.0278,0.08,nc,nc73625371,2021-09-17T01:05:12.040Z,"23km NW of Parkfield, CA",earthquake,0.23,0.43,0.13,51,automatic,nc,nc
2021-09-16T02:28:24.420Z,17.9308,-66.8426,14,2.73,md,21,195,0.2053,0.19,pr,pr2021259002,2021-09-16T03:13:13.229Z,"7 km SE of Maria Antonia, Puerto Rico",earthquake,0.55,0.56,0.13,9,reviewed,pr,pr
2021-09-16T02:13:06.157Z,-20.1043,-68.8271,118.75,4.5,mb,,45,0.308,0.51,us,us7000fbnk,2021-09-17T00:58:38.603Z,"138 km E of Iquique, Chile",earthquake,3.7,5.6,0.128,18,reviewed,us,us
2021-09-16T02:05:19.140Z,18.0248,-66.7655,15,2.76,md,21,84,0.1603,0.1,pr,pr2021259001,2021-09-16T03:38:37.420Z,"0 km NNE of Magas Arriba, Puerto Rico",earthquake,0.27,0.29,0.3,11,reviewed,pr,pr
2021-09-16T01:20:38.977Z,-56.4829,-36.412,10,5.3,mww,,36,2.205,0.61,us,us7000fbn4,2021-09-17T01:24:17.550Z,"South Georgia Island region",earthquake,7.7,1.4,0.083,14,reviewed,us,us
2021-09-16T01:16:10.250Z,19.706,-63.7513,44,3.92,md,19,336,2.0737,0.26,pr,pr2021259000,2021-09-16T02:32:35.331Z,"180 km NNW of The Valley, Anguilla",earthquake,2.6,19.13,0.07,14,reviewed,pr,pr
2021-09-16T01:10:19.231Z,-26.2961,-70.9135,20.24,4.6,mb,,107,0.319,0.93,us,us7000fbn0,2021-09-16T22:00:18.040Z,"86 km W of Diego de Almagro, Chile",earthquake,5.7,4.8,0.122,20,reviewed,us,us
2021-09-16T00:43:37.060Z,19.165,-155.503,37.35,2.86,ml,53,107,,0.11,hv,hv72710297,2021-09-16T03:53:43.380Z,"4 km SSW of P?hala, Hawaii",earthquake,0.48,0.55,0.192842770034622,36,reviewed,hv,hv
2021-09-16T00:18:43.856Z,-24.0348,-66.8557,206.89,4.5,mb,,88,1.624,0.89,us,us7000fbmt,2021-09-16T00:35:33.040Z,"58 km WNW of San Antonio de los Cobres, Argentina",earthquake,9.9,8.6,0.15,13,reviewed,us,us
2021-09-16T00:06:15.719Z,-27.9372,-177.5516,71.69,4.9,mb,,70,10.922,0.87,us,us7000fbmx,2021-09-16T00:58:52.040Z,"Kermadec Islands region",earthquake,13.7,6.5,0.095,35,reviewed,us,us
2021-09-15T22:31:42.036Z,15.5296,-92.968,111.12,4.9,mb,,131,1.095,0.89,us,us7000fbll,2021-09-16T06:53:43.550Z,"3 km NW of Nuevo Milenio Valdivia, Mexico",earthquake,6.3,6.5,0.031,329,reviewed,us,us
2021-09-15T20:33:32.343Z,29.1823,105.3905,10,5.4,mww,,19,3.732,0.6,us,us7000fbky,2021-09-16T23:02:40.025Z,"52 km WSW of Yongchuan, China",earthquake,7.3,1.8,0.052,35,reviewed,us,us
2021-09-15T20:19:33.975Z,63.302,-149.1195,83.2,2.8,ml,,,,0.64,ak,ak021bv0ocns,2021-09-15T20:26:34.450Z,"13 km SW of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-09-15T19:45:45.650Z,17.9746,-67.3826,1,2.79,md,9,259,0.2748,0.46,pr,pr2021258007,2021-09-15T20:09:48.170Z,"20 km W of Pole Ojea, Puerto Rico",earthquake,3.13,2.05,0.09,7,reviewed,pr,pr
2021-09-15T17:36:53.870Z,19.1888333333333,-155.491666666667,32.78,3.22,ml,54,69,,0.12,hv,hv72709667,2021-09-15T22:54:52.655Z,"2 km SW of P?hala, Hawaii",earthquake,0.39,0.52,0.179969869211418,38,reviewed,hv,hv
2021-09-15T16:47:15.445Z,50.6817,-173.4806,22.01,2.9,ml,,246,1.703,0.57,us,us7000fbka,2021-09-15T20:58:01.040Z,"175 km SSE of Atka, Alaska",earthquake,4.1,13.5,0.148,6,reviewed,us,us
2021-09-15T15:47:37.976Z,-22.2017,-68.6632,132.02,4.3,mb,,53,0.671,0.79,us,us7000fbgy,2021-09-15T20:43:26.040Z,"38 km NE of Calama, Chile",earthquake,4.1,6.8,0.201,7,reviewed,us,us
2021-09-15T14:02:57.600Z,18.5418,-68.9858,110,3.98,md,21,160,0.7749,0.43,pr,pr2021258006,2021-09-16T01:01:32.865Z,"5 km S of Guaymate, Dominican Republic",earthquake,2.43,1.78,0.1,9,reviewed,pr,pr
2021-09-15T13:27:54.392Z,50.4008,-176.2291,34.9,3.9,ml,,,,0.36,ak,ak021buwk2qg,2021-09-15T19:11:49.507Z,"166 km S of Adak, Alaska",earthquake,,1.2,,,reviewed,ak,ak
2021-09-15T13:18:36.980Z,17.9681,-66.8996,9,2.61,md,14,196,0.1446,0.2,pr,pr2021258005,2021-09-15T13:49:24.551Z,"Puerto Rico region",earthquake,0.63,0.88,0.16,4,reviewed,pr,pr
2021-09-15T13:09:24.880Z,19.5078333333333,-155.969,4.67,2.62,ml,48,185,,0.31,hv,hv72709332,2021-09-16T07:59:52.736Z,"5 km WSW of Kealakekua, Hawaii",earthquake,0.56,0.44,0.126697868505999,15,reviewed,hv,hv
2021-09-15T12:44:13.177Z,-28.1865,-177.6866,10,5.1,mb,,106,1.091,0.83,us,us7000fbez,2021-09-16T05:16:12.346Z,"Kermadec Islands region",earthquake,5.9,1.8,0.096,35,reviewed,us,us
2021-09-15T12:29:44.360Z,38.4188333,-119.5606667,6.26,3.55,mw,35,79,0.08992,0.1,nc,nc73625096,2021-09-17T05:07:40.839Z,"25km ENE of Dardanelle, CA",earthquake,0.15,0.5,,3,reviewed,nc,nc
2021-09-15T12:26:53.872Z,42.2398,19.4246,13.23,4.2,mb,,29,0.225,0.93,us,us7000fbeg,2021-09-15T14:25:14.285Z,"3 km NNW of Koplik, Albania",earthquake,5.5,7,0.187,8,reviewed,us,us
2021-09-15T11:21:13.441Z,58.5528,-137.1099,0,2.8,ml,,,,0.67,ak,ak021buvbu4w,2021-09-16T04:46:19.040Z,"60 km NW of Elfin Cove, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-09-15T10:48:57.000Z,54.9682,-156.2969,33.1,3.9,ml,,,,0.59,ak,ak021buuwa10,2021-09-15T11:19:02.339Z,"198 km SE of Chignik, Alaska",earthquake,,1.8,,,reviewed,ak,ak
2021-09-15T10:48:04.873Z,11.2705,125.2239,163.64,4.3,mb,,100,4.188,0.43,us,us7000fbe2,2021-09-15T13:10:10.342Z,"14 km SE of Guirang, Philippines",earthquake,11.8,8.6,0.116,21,reviewed,us,us
2021-09-15T10:22:57.385Z,-57.894,-23.5372,10,5.3,mww,,45,11.185,0.87,us,us7000fbdr,2021-09-17T18:24:47.040Z,"South Sandwich Islands region",earthquake,9.9,1.7,0.098,10,reviewed,us,us
2021-09-15T09:53:43.309Z,-24.0968,179.3817,537.55,4.1,mb,,76,5.682,0.63,us,us7000fbdm,2021-09-15T10:10:44.040Z,"",earthquake,14.6,9.8,0.12,19,reviewed,us,us
2021-09-15T09:36:45.574Z,-1.3371,-15.9139,10,5.2,mb,,108,13.605,0.58,us,us7000fbdg,2021-09-15T13:36:18.557Z,"north of Ascension Island",earthquake,5.7,1.9,0.058,97,reviewed,us,us
2021-09-15T08:46:59.639Z,-32.1037,-72.2563,10.83,5,mb,,152,1.05,0.68,us,us7000fbcx,2021-09-15T14:52:18.192Z,"104 km WNW of La Ligua, Chile",earthquake,5.1,3.5,0.099,32,reviewed,us,us
2021-09-15T08:08:32.189Z,-59.6772,-26.3187,67.71,4.9,mb,,33,7.746,0.94,us,us7000fbc9,2021-09-15T08:35:04.040Z,"South Sandwich Islands region",earthquake,10.3,4.8,0.1,50,reviewed,us,us
2021-09-15T07:24:18.530Z,18.2851,-64.9858,4,3.37,md,16,333,0.2975,0.28,pr,pr2021258002,2021-09-15T11:36:18.338Z,"8 km SW of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.89,0.63,0.05,10,reviewed,pr,pr
2021-09-15T04:43:04.782Z,-58.9682,-23.6121,10,5.2,mb,,48,8.504,0.84,us,us7000fbav,2021-09-16T00:19:14.040Z,"South Sandwich Islands region",earthquake,10,1.8,0.067,75,reviewed,us,us
2021-09-15T04:42:07.476Z,3.1299,126.6184,63.46,4.7,mb,,105,2.458,0.49,us,us7000fbau,2021-09-15T23:16:34.040Z,"218 km NW of Tobelo, Indonesia",earthquake,6.5,7.9,0.059,88,reviewed,us,us
2021-09-15T04:24:35.189Z,-24.2578,-67.2027,199.84,4.4,mb,,60,1.578,0.55,us,us7000fbal,2021-09-15T22:52:27.040Z,"89 km W of San Antonio de los Cobres, Argentina",earthquake,9.8,8.4,0.144,14,reviewed,us,us
2021-09-15T04:07:54.656Z,-31.7412,-72.0121,10,4.5,mb,,161,0.932,0.69,us,us7000fba9,2021-09-16T00:12:24.040Z,"80 km W of Illapel, Chile",earthquake,3.6,1.9,0.191,8,reviewed,us,us
2021-09-15T03:47:05.274Z,58.6748,-31.8939,10,4.6,mb,,125,7.884,0.7,us,us7000fbah,2021-09-15T23:54:48.861Z,"Reykjanes Ridge",earthquake,8.1,1.7,0.057,90,reviewed,us,us
2021-09-15T03:31:38.058Z,-58.4073,-25.5898,61.26,5.3,mww,,42,7.328,0.81,us,us7000fb9q,2021-09-15T23:43:36.040Z,"South Sandwich Islands region",earthquake,9.6,3.7,0.098,10,reviewed,us,us
2021-09-15T02:33:21.705Z,64.4094,-146.7478,3.6,2.8,ml,,,,0.75,ak,ak021buq1iws,2021-09-15T08:45:50.806Z,"8 km WNW of Harding-Birch Lakes, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-09-15T02:19:44.512Z,42.2858,19.4894,21.43,4.1,mb,,37,0.222,1.25,us,us7000fb99,2021-09-15T19:49:56.075Z,"9 km NNE of Koplik, Albania",earthquake,5.4,4.4,0.14,14,reviewed,us,us
